product_name,category_name,company_name
"iPhone 15",Mobiles,"ABC Electronics"
"Galaxy S24",Mobiles,"XYZ Traders"
"OnePlus 13",Mobiles,"Tech World"
"MacBook Air M3",Laptops,"Prime Distributors"
"Inspiron 15",Laptops,"Global Supply"
"ThinkPad E14",Laptops,"Elite Electronics"
"Boat Rockerz 450",Headphones,"Smart Deals"
"AirPods Pro",Headphones,"Future Tech"
"Sony WH-1000XM5",Headphones,"Bright India"
"LG Smart TV 43"",Televisions,"Digital Hub"
"Samsung Crystal TV",Televisions,"NextGen Supplies"
"Mi X Series TV",Televisions,"Universal Traders"
"Voltas AC 1.5 Ton","Home Appliances","Mega Retail"
"LG Refrigerator","Home Appliances","Super Wholesale"
"IFB Washing Machine","Home Appliances","Sunrise Suppliers"
"Nike Air Max",Footwear,"Moonlight Traders"
"Adidas Ultraboost",Footwear,"City Distributors"
"Puma Runner",Footwear,"National Supply"
"Levis Jeans",Clothing,"Apex Electronics"
"US Polo T-Shirt",Clothing,"Infinity Trade"
"Allen Solly Shirt",Clothing,"Vision Retail"
"Titan Watch",Watches,"Royal Suppliers"
"Fastrack Watch",Watches,"Nova Distributors"
"Casio G-Shock",Watches,"Sigma Traders"
"Classmate Notebook",Stationery,"Pioneer Supply"
"Cello Pen Pack",Stationery,"Express Electronics"
"Camlin Geometry Box",Stationery,"Starline Traders"
"Dining Table",Furniture,"Orbit Supplies"
"Office Chair",Furniture,"Platinum Wholesale"
"Wooden Bed",Furniture,"BlueSky Distributors"
"Dove Shampoo","Beauty & Personal Care","Crystal Trade"
"Nivea Face Wash","Beauty & Personal Care","Zenith Suppliers"
"Lakme Kajal","Beauty & Personal Care","Dynamic Retail"
"Horlicks 1kg",Groceries,"Power Electronics"
Bournvita,Groceries,"Urban Trade"
"Tata Salt",Groceries,"Skyline Distributors"
"Cricket Bat",Sports,"Vertex Supply"
Football,Sports,"Maxwell Traders"
"Badminton Racket",Sports,"Alpha Electronics"
"Harry Potter Set",Books,"Beta Distributors"
"Atomic Habits",Books,"Gamma Retail"
"Rich Dad Poor Dad",Books,"Delta Wholesale"
"Car Vacuum Cleaner",Automotive,"Omega Suppliers"
"Car Perfume",Automotive,"Evergreen Trade"
"Bike Helmet",Automotive,"Phoenix Electronics"
"Yoga Mat",Fitness,"Rapid Supply"
"Dumbbell 10kg",Fitness,"Core Distributors"
Treadmill,Fitness,"Fusion Traders"
"Canon EOS 1500D",Cameras,"Smart Solutions"
"Nikon D5600",Cameras,"FutureMart Supply"
